Exp1	Exp2	Exp3	DeathOutcome1	AnthraxDeath1	Total1	DeathOutcome2	AnthraxDeath2	Total2	DeathOutcome3	AnthraxDeath3	Total3
2499	350	210	0	0	32	0	0	31	0	0	28
1693	100	240	0	0	32	0	0	31	0	0	28
345	150	497	0	0	32	1	0	30	0	0	28
745	25	0	0	0	32	0	0	30	0	0	28
350	50	0	0	0	32	0	0	30	1	0	27
0	0	0	0	0	32	0	0	30	1	0	26
0	0	0	0	0	32	0	0	30	0	0	26
0	320	0	0	0	32	0	0	30	0	0	26
450	100	0	1	0	31	0	0	30	1	0	25
50	50	0	0	0	31	0	0	30	1	1	24
695	0	0	0	0	31	0	0	30	0	0	24
150	0	0	0	0	31	0	0	30	0	0	24
0	0	0	0	0	31	0	0	30	0	0	24
0	0	0	0	0	31	1	1	29	0	0	24
100	345	0	2	2	29	0	0	29	0	0	24
275	25	0	1	1	28	0	0	29	0	0	24
180	250	0	1	1	27	0	0	29	2	1	22
350	150	0	2	2	25	0	0	29	0	0	22
450	0	0	0	0	25	1	1	28	0	0	22
0	0	0	0	0	25	0	0	28	0	0	22
0	0	0	0	0	25	1	1	27	0	0	22
615	150	0	0	0	25	0	0	27	0	0	22
810	160	0	0	0	25	0	0	27	0	0	22
50	250	0	1	1	24	0	0	27	0	0	22
75	50	0	0	0	24	1	1	26	0	0	22
475	0	0	1	1	23	0	0	26	0	0	22
0	0	0	0	0	23	0	0	26	0	0	22
0	0	0	0	0	23	0	0	26	0	0	22
675	350	775	0	0	23	0	0	26	0	0	22
150	0	572	0	0	23	0	0	26	0	0	22
920	325	0	1	1	22	0	0	26	0	0	22
440	425	0	0	0	22	1	1	25	0	0	22
400	0	0	0	0	22	0	0	25	0	0	22
0	0	0	0	0	22	0	0	25	0	0	22
0	10	0	0	0	22	0	0	25	0	0	22
1420	30	0	0	0	22	0	0	25	0	0	22
275	50	0	0	0	22	0	0	25	0	0	22
750	250	0	0	0	22	0	0	25	0	0	22
525	700	0	0	0	22	0	0	25	0	0	22
400	294	0	0	0	22	0	0	25	0	0	22
0	0	0	1	1	21	0	0	25	0	0	22
0	0	0	0	0	21	0	0	25	0	0	22
0	0	0	0	0	21	0	0	25	0	0	22
300	0	0	0	0	21	0	0	25	0	0	22
350	0	0	2	1	19	1	1	24	0	0	22
0	0	0	1	1	18	1	1	23	0	0	22
0	0	0	0	0	18	1	0	22	0	0	22
0	0	0	0	0	18	0	0	22	0	0	22
0	0	0	0	0	18	0	0	22	0	0	22
0	0	0	2	2	16	0	0	22	0	0	22
